"Deployment","Year","Lured","DateTime","Series","Photos","Species","Sex","Age","Individuals","Duration","DeploymentYear"
"ABMI-0410-NW",2019,"n",2019-01-24 19:41:55,75,7,"Snowshoe Hare","Unkn","Adult",1,19.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 20:21:34,76,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 20:43:27,77,7,"Snowshoe Hare","Unkn","Adult",1,35.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 21:08:21,78,4,"Snowshoe Hare","Unkn","Adult",1,17.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 23:02:28,79,2,"Snowshoe Hare","Unkn","Adult",1,17.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 23:11:19,80,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 23:14:05,81,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 23:23:15,82,6,"Snowshoe Hare","Unkn","Adult",1,140.157839275213,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-24 23:57:59,83,5,"Snowshoe Hare","Unkn","Adult",1,47.6970242257009,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-25 08:40:10,84,3,"Snowshoe Hare","Unkn","Adult",1,16.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-25 18:33:42,85,2,"Snowshoe Hare","Unkn","Adult",1,24.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-25 18:36:17,86,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-26 23:51:45,87,5,"Snowshoe Hare","Unkn","Adult",1,67.0453940992252,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:38:45,88,7,"Snowshoe Hare","Unkn","Adult",1,66.4641578534788,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:45:42,89,9,"Snowshoe Hare","Unkn","Adult",1,71.8830318559761,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:49:51,90,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:52:01,91,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:54:10,92,3,"Snowshoe Hare","Unkn","Adult",1,56.3411906271256,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 04:58:04,93,9,"Snowshoe Hare","Unkn","Adult",1,94.8743370248717,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-28 08:49:43,94,7,"Snowshoe Hare","Unkn","Adult",1,27.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-29 05:31:15,95,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-29 05:41:05,96,9,"Snowshoe Hare","Unkn","Adult",1,103.522986036135,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-29 05:46:53,97,3,"Snowshoe Hare","Unkn","Adult",1,53.8124282369904,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-30 21:24:43,98,9,"Snowshoe Hare","Unkn","Adult",1,136.780113656383,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-30 21:47:48,99,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-30 21:55:25,100,3,"Snowshoe Hare","Unkn","Adult",1,23.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-30 22:04:17,101,14,"Snowshoe Hare","Unkn","Adult",1,113.420814181147,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-01-30 22:14:31,102,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-01 04:48:29,103,18,"Snowshoe Hare","Unkn","Adult",1,94.1238461106671,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-01 04:52:27,104,2,"Snowshoe Hare","Unkn","Adult",1,28.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-01 04:59:51,105,4,"Snowshoe Hare","Unkn","Adult",1,24.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-06 05:36:30,106,13,"Snowshoe Hare","Unkn","Adult",1,37.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-10 20:24:46,107,5,"Snowshoe Hare","Unkn","Adult",1,16.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-11 07:04:59,108,10,"Snowshoe Hare","Unkn","Adult",1,42.2507802468826,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-14 03:04:45,109,11,"Snowshoe Hare","Unkn","Adult",1,41.0662763929823,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-14 04:11:49,110,20,"Snowshoe Hare","Unkn","Adult",1,140.599191236212,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-14 04:18:02,111,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-14 04:25:29,112,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-20 20:08:44,113,32,"Snowshoe Hare","Unkn","Adult",1,338.839755015466,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-20 20:20:22,114,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-02-25 19:42:19,115,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 01:16:56,116,6,"Snowshoe Hare","Unkn","Adult",1,30.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 20:08:59,117,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 20:13:14,118,3,"Snowshoe Hare","Unkn","Adult",1,14.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 20:13:58,119,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 20:14:43,120,8,"Snowshoe Hare","Unkn","Adult",1,93.3876621414784,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-05 20:16:40,121,4,"Snowshoe Hare","Unkn","Adult",1,85.0665451775186,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-08 21:02:56,122,5,"Snowshoe Hare","Unkn","Adult",1,20.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-12 22:00:52,123,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-12 22:06:10,124,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-12 22:15:44,125,2,"Snowshoe Hare","Unkn","Adult",1,20.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-12 22:23:59,126,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-16 07:56:10,127,3,"Snowshoe Hare","Unkn","Adult",1,25.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-16 07:59:13,128,2,"Snowshoe Hare","Unkn","Adult",1,13.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-18 05:38:58,129,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-20 21:51:11,130,2,"Snowshoe Hare","Unkn","Adult",1,16.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-21 00:05:28,131,2,"Snowshoe Hare","Unkn","Adult",1,25.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-24 04:31:23,132,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-24 07:37:46,133,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-24 21:07:10,134,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-30 05:08:01,135,2,"Snowshoe Hare","Unkn","Adult",1,42.6227913702617,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-30 05:19:16,136,4,"Snowshoe Hare","Unkn","Adult",1,42.6642654328561,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-30 09:21:17,137,2,"Snowshoe Hare","Unkn","Adult",1,15.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-30 21:37:34,138,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-30 21:58:51,139,2,"Snowshoe Hare","Unkn","Adult",1,21.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-31 10:23:31,140,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-03-31 16:26:42,141,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-02 06:43:35,142,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-02 18:14:06,143,2,"Snowshoe Hare","Unkn","Adult",1,25.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-03 01:16:18,144,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-03 23:22:53,145,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-03 23:29:36,146,3,"Snowshoe Hare","Unkn","Adult",1,13.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-04 02:22:26,147,2,"Snowshoe Hare","Unkn","Adult",1,11.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-04 02:28:03,148,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-06 06:06:48,149,2,"Snowshoe Hare","Unkn","Adult",1,22.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-07 15:22:22,150,3,"Snowshoe Hare","Unkn","Adult",1,20.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-07 15:44:50,151,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-21 22:44:05,152,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-21 22:48:45,153,2,"Snowshoe Hare","Unkn","Adult",1,21.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-21 22:52:13,154,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-21 23:01:57,155,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-24 07:00:43,156,2,"Snowshoe Hare","Unkn","Adult",1,26.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:16:43,157,3,"Snowshoe Hare","Unkn","Adult",1,56.8830318559761,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:24:40,158,3,"Snowshoe Hare","Unkn","Adult",1,91.9321440550111,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:35:02,159,3,"Snowshoe Hare","Unkn","Adult",1,65.5040497022629,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:47:48,160,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:50:35,161,3,"Snowshoe Hare","Unkn","Adult",1,45.5398227537845,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 05:53:56,162,3,"Snowshoe Hare","Unkn","Adult",1,38.8007425570317,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 06:00:15,163,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-26 21:55:54,164,5,"Snowshoe Hare","Unkn","Adult",1,36.0662763929823,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-27 21:27:00,165,2,"Snowshoe Hare","Unkn","Adult",1,12.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-29 09:46:36,166,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-04-30 22:44:25,167,2,"Snowshoe Hare","Unkn","Adult",1,11.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-02 07:00:12,168,2,"Snowshoe Hare","Unkn","Adult",1,32.9185461799682,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-03 23:51:53,169,2,"Snowshoe Hare","Unkn","Adult",1,14.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-13 03:06:37,170,2,"Snowshoe Hare","Unkn","Adult",1,11.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-15 06:35:43,171,3,"Snowshoe Hare","Unkn","Adult",1,22.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-16 05:06:51,172,3,"Snowshoe Hare","Unkn","Adult",1,14.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-24 05:51:22,173,1,"Snowshoe Hare","Unkn","Adult",1,10.66675689,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-25 04:51:34,174,3,"Snowshoe Hare","Unkn","Adult",1,46.3901535986223,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-05-28 09:25:28,175,2,"Snowshoe Hare","Unkn","Adult",1,38.7895865056387,"ABMI-0410-NW_2019"
"ABMI-0410-NW",2019,"n",2019-06-09 02:14:18,176,3,"Snowshoe Hare","Unkn","Adult",1,16.66675689,"ABMI-0410-NW_2019"
